name	set_code	set_name
Abzan Ascendancy	pPRE	Prerelease Events
Anafenza, the Foremost	pPRE	Prerelease Events
Ankle Shanker	pPRE	Prerelease Events
Avalanche Tusker	pPRE	Prerelease Events
Bloodsoaked Champion	pPRE	Prerelease Events
Butcher of the Horde	pPRE	Prerelease Events
Crackling Doom	pPRE	Prerelease Events
Crater's Claws	pPRE	Prerelease Events
Deflecting Palm	pPRE	Prerelease Events
Dig Through Time	pPRE	Prerelease Events
Dragon-Style Twins	pPRE	Prerelease Events
Duneblast	pPRE	Prerelease Events
Flying Crane Technique	pPRE	Prerelease Events
Grim Haruspex	pPRE	Prerelease Events
Hardened Scales	pPRE	Prerelease Events
Herald of Anafenza	pPRE	Prerelease Events
High Sentinels of Arashin	pPRE	Prerelease Events
Icy Blast	pPRE	Prerelease Events
Ivorytusk Fortress	pPRE	Prerelease Events
Jeering Instigator	pPRE	Prerelease Events
Jeskai Ascendancy	pPRE	Prerelease Events
Kheru Lich Lord	pPRE	Prerelease Events
Mardu Ascendancy	pPRE	Prerelease Events
Master of Pearls	pPRE	Prerelease Events
Narset, Enlightened Master	pPRE	Prerelease Events
Necropolis Fiend	pPRE	Prerelease Events
Rakshasa Vizier	pPRE	Prerelease Events
Rattleclaw Mystic	pPRE	Prerelease Events
Sage of the Inward Eye	pPRE	Prerelease Events
Sidisi, Brood Tyrant	pPRE	Prerelease Events
Siege Rhino	pPRE	Prerelease Events
Sultai Ascendancy	pPRE	Prerelease Events
Surrak Dragonclaw	pPRE	Prerelease Events
Temur Ascendancy	pPRE	Prerelease Events
Thousand Winds	pPRE	Prerelease Events
Trail of Mystery	pPRE	Prerelease Events
Trap Essence	pPRE	Prerelease Events
Utter End	pPRE	Prerelease Events
Villainous Wealth	pPRE	Prerelease Events
Zurgo Helmsmasher	pPRE	Prerelease Events
Alesha, Who Smiles at Death	pPRE	Prerelease Events
Arcbond	pPRE	Prerelease Events
Archfiend of Depravity	pPRE	Prerelease Events
Atarka, World Render	pPRE	Prerelease Events
Brutal Hordechief	pPRE	Prerelease Events
Daghatar the Adamant	pPRE	Prerelease Events
Dragonscale General	pPRE	Prerelease Events
Dromoka, the Eternal	pPRE	Prerelease Events
Flamerush Rider	pPRE	Prerelease Events
Flamewake Phoenix	pPRE	Prerelease Events
Jeskai Infiltrator	pPRE	Prerelease Events
Kolaghan, the Storm's Fury	pPRE	Prerelease Events
Mardu Strike Leader	pPRE	Prerelease Events
Mastery of the Unseen	pPRE	Prerelease Events
Ojutai, Soul of Winter	pPRE	Prerelease Events
Rally the Ancestors	pPRE	Prerelease Events
Sage-Eye Avengers	pPRE	Prerelease Events
Sandsteppe Mastodon	pPRE	Prerelease Events
Shaman of the Great Hunt	pPRE	Prerelease Events
Shamanic Revelation	pPRE	Prerelease Events
Shu Yun, the Silent Tempest	pPRE	Prerelease Events
Silumgar, the Drifting Death	pPRE	Prerelease Events
Soulfire Grand Master	pPRE	Prerelease Events
Soulflayer	pPRE	Prerelease Events
Supplant Form	pPRE	Prerelease Events
Tasigur, the Golden Fang	pPRE	Prerelease Events
Torrent Elemental	pPRE	Prerelease Events
Warden of the First Tree	pPRE	Prerelease Events
Wildcall	pPRE	Prerelease Events
Yasova Dragonclaw	pPRE	Prerelease Events
Anafenza, Kin-Tree Spirit	pPRE	Prerelease Events
Arashin Foremost	pPRE	Prerelease Events
Arashin Sovereign	pPRE	Prerelease Events
Atarka's Command	pPRE	Prerelease Events
Avatar of the Resolute	pPRE	Prerelease Events
Blessed Reincarnation	pPRE	Prerelease Events
Blood-Chin Fanatic	pPRE	Prerelease Events
